gene_name number_of_transposon_per_gene number_of_read_per_gene
MET32 5 17
CHL4 7 39
RMD5 9 62
CTA1 69 1520
RKM4 19 204
HSP78 36 1187
YAP6 38 782
SWM1 52 1791
EXG2 36 1143
YDR262W 13 102
DIN7 29 575
AKR1 8 74
PEX10 11 104
HEL2 31 1177
CIA1 1 0
MSW1 2 2
YDR269C 3 5
CCC2 30 811
YDR271C 9 178
GLO2 9 381
DON1 27 479
YDR274C 66 2925
BSC2 15 464
PMP3 5 170
MTH1 24 345
YDR278C 16 127
RNH202 15 627
RRP45 7 223
PHM6 9 26
YDR282C 13 448
GCN2 10 61
DPP1 16 142
ZIP1 29 558
YDR286C 6 27
INM2 20 251
NSE3 2 14
RTT103 1 0
YDR290W 12 89
HRQ1 40 1265
SRP101 0 0
SSD1 28 521
DPL1 30 754
HDA2 23 259
MHR1 1 0
SUR2 4 23
ATP5 0 0
BFR2 0 0
PRO1 1 0
CFT1 0 0
GPI11 2 1
RSC3 4 6
CPR5 8 380
HNT2 9 208
YDR306C 17 281
PMT7 26 559
SRB7 2 2
GIC2 15 165
SUM1 19 775
TFB1 5 21
SSF2 23 366
PIB1 21 480
RAD34 26 649
IPK1 4 68
OMS1 19 265
HIM1 7 59
MCM21 3 3
YFT2 16 237
SWA2 13 186
DAD4 0 0
YDR320W-B 11 396
ASP1 11 247
MRPL35 1 0
TIM11 2 1
PEP7 15 201
UTP4 6 45
YCG1 2 1
YSP2 55 866
YDR327W 0 0
SKP1 0 0
PEX3 22 420
UBX5 20 347
GPI8 4 23
IRC3 14 133
RQC1 22 250
SWR1 36 415
MSN5 10 356
YDR336W 24 483
MRPS28 2 1
YDR338C 50 1468
FCF1 0 0
YDR340W 16 203
YDR341C 1 0
HXT7 1 0
HXT6 2 1
YDR344C 39 1563
HXT3 31 982
SVF1 25 1031
MRP1 2 8
PAL1 40 1008
YPS7 20 338
ATP22 6 63
SBE2 16 511
YPQ2 21 1030
TRR1 7 39
TRP4 10 239
YDR354C-A 0 0
YDR355C 0 0
SPC110 3 2
CNL1 24 349
GGA1 18 799
EAF1 19 284
OPI7 2 1
BCP1 0 0
TFC6 7 89
ESC2 24 338
SEM1 0 0
CDC40 3 41
ESF1 3 31
YDR366C 10 103
KEI1 3 42
YPR1 13 58
XRS2 29 536
DXO1 35 793
CTS2 19 343
YDR371C-A 0 0
VPS74 1 0
FRQ1 0 0
PHO92 9 104
WIP1 0 0
BCS1 5 14
ARH1 1 0
ATP17 0 0
LSM6 0 0
RGA2 65 2381
SDH6 5 4
ARO10 41 1137
YRA1 0 0
YDR381C-A 2 1
RPP2B 1 0
NKP1 18 404
ATO3 21 268
EFT2 1 0
MUS81 20 620
YDR387C 19 1219
RVS167 13 183
SAC7 21 555
UBA2 7 241
YDR391C 8 91
SPT3 3 8
SHE9 29 558
RPT3 0 0
SXM1 23 325
YDR396W 3 13
NCB2 3 13
UTP5 10 119
HPT1 14 134
