gene_name number_of_transposon_per_gene number_of_read_per_gene
HTA1 1 0
ADK1 3 12
SIR4 26 199
PCF11 2 7
IVY1 23 196
YDR230W 6 20
COX20 10 81
HEM1 1 0
RTN1 12 60
LYS4 30 859
PRP42 0 0
FMN1 3 16
MRPL7 6 25
SEC26 1 0
YDR239C 20 248
SNU56 5 50
BUD26 11 77
AMD2 16 448
PRP28 1 0
PEX5 26 212
MNN10 9 53
TRS23 3 7
YDR246W-A 48 1094
VHS1 38 827
YDR248C 17 255
YDR249C 39 688
YDR250C 31 1218
PAM1 42 624
BTT1 4 8
MET32 8 26
CHL4 20 214
RMD5 17 251
CTA1 25 385
RKM4 8 64
HSP78 22 379
YAP6 26 288
SWM1 38 626
EXG2 25 383
YDR262W 18 211
DIN7 16 283
AKR1 7 26
PEX10 9 54
HEL2 18 210
CIA1 0 0
MSW1 11 98
YDR269C 0 0
CCC2 17 82
YDR271C 3 2
GLO2 14 254
DON1 21 268
YDR274C 75 2290
BSC2 18 513
PMP3 10 166
MTH1 42 691
YDR278C 24 254
RNH202 5 37
RRP45 3 2
PHM6 1 0
YDR282C 11 217
GCN2 19 317
DPP1 6 59
ZIP1 15 324
YDR286C 5 49
INM2 6 31
NSE3 1 0
RTT103 4 3
YDR290W 7 11
HRQ1 17 198
SRP101 0 0
SSD1 15 150
DPL1 25 462
HDA2 10 139
MHR1 20 125
SUR2 10 160
ATP5 5 16
BFR2 0 0
PRO1 0 0
CFT1 1 0
GPI11 1 0
RSC3 2 1
CPR5 5 22
HNT2 4 69
YDR306C 6 66
PMT7 9 81
SRB7 0 0
GIC2 9 151
SUM1 17 114
TFB1 7 59
SSF2 13 193
PIB1 15 188
RAD34 20 221
IPK1 5 42
OMS1 12 169
HIM1 6 31
MCM21 5 28
YFT2 6 57
SWA2 5 13
DAD4 0 0
YDR320W-B 12 195
ASP1 12 235
MRPL35 9 52
TIM11 2 2
PEP7 10 111
UTP4 2 1
YCG1 0 0
YSP2 20 360
YDR327W 0 0
SKP1 0 0
PEX3 21 346
UBX5 26 308
GPI8 1 0
IRC3 10 112
RQC1 12 168
SWR1 26 347
MSN5 13 78
YDR336W 11 97
MRPS28 9 74
YDR338C 30 450
FCF1 0 0
YDR340W 9 63
YDR341C 0 0
HXT7 1 0
HXT6 0 0
YDR344C 28 453
HXT3 33 644
SVF1 26 393
MRP1 19 151
PAL1 20 430
YPS7 17 197
ATP22 17 149
SBE2 21 348
YPQ2 13 185
TRR1 0 0
TRP4 11 153
YDR354C-A 1 0
YDR355C 1 0
SPC110 4 49
CNL1 13 107
GGA1 13 172
EAF1 12 117
OPI7 8 19
BCP1 1 0
TFC6 11 112
ESC2 12 141
SEM1 0 0
CDC40 15 79
ESF1 2 9
YDR366C 4 23
KEI1 0 0
YPR1 9 60
XRS2 15 415
DXO1 13 305
CTS2 9 114
YDR371C-A 0 0
VPS74 7 126
FRQ1 0 0
PHO92 13 189
WIP1 0 0
BCS1 28 381
ARH1 3 6
ATP17 4 16
LSM6 1 0
RGA2 44 1092
SDH6 6 43
ARO10 22 474
YRA1 1 0
YDR381C-A 3 3
RPP2B 0 0
NKP1 17 180
ATO3 20 347
EFT2 0 0
MUS81 23 285
YDR387C 14 217
RVS167 34 339
SAC7 18 132
UBA2 3 53
YDR391C 10 103
SPT3 3 3
SHE9 24 172
RPT3 1 0
SXM1 15 157
YDR396W 0 0
NCB2 0 0
UTP5 9 120
HPT1 11 75
URH1 11 266
YDR401W 4 6
DIT2 12 173
DIT1 22 328
RPB7 1 0
MRP20 57 765
PDR15 78 1818
YDR406W-A 0 0
TRS120 5 6
ADE8 0 0
SIZ1 14 119
STE14 10 323
DFM1 12 248
RRP17 1 0
YDR413C 1 0
ERD1 15 129
